Id,Target,Source
00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,16 0,train
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0,train
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,5,train
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1,train
001838f8-bbca-11e8-b2bc-ac1f6b6435d0,18,train
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0,train
00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,2 0,train
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7,train
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,24 0,train
00344514-bbc2-11e8-b2bb-ac1f6b6435d0,23,train
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,25,train
0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,25 0,train
00481c70-bba3-11e8-b2b9-ac1f6b6435d0,25 2,train
004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,25 0,train
004b47de-bbca-11e8-b2bc-ac1f6b6435d0,25 3,train
004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,16 6,train
004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,25 2,train
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,25,train
004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,12 0,train
0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,13,train
00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,14 2 0,train
0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,12,train
005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,25 13 21,train
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,7,train
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2,train
0060269e-bbbc-11e8-b2ba-ac1f6b6435d0,25 4,train
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,23,train
0062719a-bbbe-11e8-b2ba-ac1f6b6435d0,25 23,train
00638dd0-bbac-11e8-b2ba-ac1f6b6435d0,20,train
0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,1 0,train
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,25 0,train
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,0,train
0067f542-bba1-11e8-b2b9-ac1f6b6435d0,23 0,train
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,5,train
006cde8a-bbbb-11e8-b2ba-ac1f6b6435d0,21,train
006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0,22 0 21,train
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3,train
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,14,train
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,0,train
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,2,train
007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,23 0,train
00855996-bbad-11e8-b2ba-ac1f6b6435d0,0,train
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,0 21,train
0088a1b6-bbb5-11e8-b2ba-ac1f6b6435d0,11,train
0089bdfe-bbc8-11e8-b2bc-ac1f6b6435d0,0 21,train
008a780e-bb9e-11e8-b2b9-ac1f6b6435d0,21,train
008a8630-bb9b-11e8-b2b9-ac1f6b6435d0,23,train
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1 0,train
0092d59c-bba5-11e8-b2ba-ac1f6b6435d0,18,train
00934176-bbaf-11e8-b2ba-ac1f6b6435d0,25 21,train
0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0,25,train
0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,23 0,train
00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,5 0,train
009c104e-bbc8-11e8-b2bc-ac1f6b6435d0,25 0,train
009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0,0 21,train
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,2,train
00a71d92-bbb2-11e8-b2ba-ac1f6b6435d0,21,train
00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0,22 6,train
00ab56c8-bbad-11e8-b2ba-ac1f6b6435d0,7 14 0,train
00ad4b4c-bbc4-11e8-b2bc-ac1f6b6435d0,21,train
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2,train
00b3659a-bbb0-11e8-b2ba-ac1f6b6435d0,5 0,train
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,0,train
00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0,19,train
00b8087a-bbc4-11e8-b2bc-ac1f6b6435d0,0 21,train
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,6,train
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,7,train
00c3f3fc-bbbe-11e8-b2ba-ac1f6b6435d0,12 25,train
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,0,train
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,3,train
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,5,train
00cb9586-bbc2-11e8-b2bb-ac1f6b6435d0,3,train
00d315a6-bbac-11e8-b2ba-ac1f6b6435d0,7 0,train
00d693c0-bbbb-11e8-b2ba-ac1f6b6435d0,23,train
00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,7 0,train
00db5f9e-bbc1-11e8-b2bb-ac1f6b6435d0,25 2 0 21,train
00dd1766-bbae-11e8-b2ba-ac1f6b6435d0,25 1 2 21,train
00e77c9c-bbc2-11e8-b2bb-ac1f6b6435d0,4,train
00e96ea4-bbc1-11e8-b2bb-ac1f6b6435d0,5,train
00ed296c-bbb3-11e8-b2ba-ac1f6b6435d0,2,train
00ed4394-bbb2-11e8-b2ba-ac1f6b6435d0,19,train
